municipio;lat;lng;url_maps
CEE;42.99095532228923;-9.073544799092003;https://www.google.com/maps?q=...842.99095532228923,-9.073544799092003
CELANOVA;42.17117832565519;-7.926987442855448;https://www.google.com/maps?q=...842.17117832565519,-7.926987442855448
CENLLE;42.34901979321002;-8.067621323027886;https://www.google.com/maps?q=...842.34901979321002,-8.067621323027886
CERCEDA;43.175530223776875;-8.490501064055175;https://www.google.com/maps?q=...843.175530223776875,-8.490501064055175
CERDEDO;42.53796871325989;-8.414948973746386;https://www.google.com/maps?q=...842.53796871325989,-8.414948973746386
CERDIDO;43.60804607856763;-7.974133367813052;https://www.google.com/maps?q=...843.60804607856763,-7.974133367813052
CERVANTES;42.798643400680085;-6.974596291969746;https://www.google.com/maps?q=...842.798643400680085,-6.974596291969746
CERVO;43.66279736485999;-7.4382939138543325;https://www.google.com/maps?q=...843.66279736485999,-7.4382939138543325
CESURAS;43.16861809517117;-8.198178528404817;https://www.google.com/maps?q=...843.16861809517117,-8.198178528404817
CHANDREXA DE QUEIXA;42.26679361187832;-7.39745605099925;https://www.google.com/maps?q=...842.26679361187832,-7.39745605099925
CHANTADA;42.61518676379485;-7.82518729627249;https://www.google.com/maps?q=...842.61518676379485,-7.82518729627249
COIROS;43.24392966608781;-8.146501251513296;https://www.google.com/maps?q=...843.24392966608781,-8.146501251513296
COLES;42.404530493321566;-7.839134568332212;https://www.google.com/maps?q=...842.404530493321566,-7.839134568332212
CORCUBION;42.92893045339988;-9.199516577680924;https://www.google.com/maps?q=...842.92893045339988,-9.199516577680924
CORISTANCO;43.15234272957318;-8.759779341550464;https://www.google.com/maps?q=...843.15234272957318,-8.759779341550464
CORTEGADA;42.211241182572266;-8.146939542282768;https://www.google.com/maps?q=...842.211241182572266,-8.146939542282768
COSPEITO;43.22160746768425;-7.539827473347229;https://www.google.com/maps?q=...843.22160746768425,-7.539827473347229
COTOBADE;42.47508550757125;-8.508006103523925;https://www.google.com/maps?q=...842.47508550757125,-8.508006103523925
COVELO;42.262968637298236;-8.35350906754417;https://www.google.com/maps?q=...842.262968637298236,-8.35350906754417
CRECENTE;42.18243281531171;-8.21706031891963;https://www.google.com/maps?q=...842.18243281531171,-8.21706031891963
CUALEDRO;41.98465597964602;-7.602602751591874;https://www.google.com/maps?q=...841.98465597964602,-7.602602751591874
CULLEREDO;43.27589368669853;-8.405061825453611;https://www.google.com/maps?q=...843.27589368669853,-8.405061825453611
CUNTIS;42.62844919682385;-8.539436931833512;https://www.google.com/maps?q=...842.62844919682385,-8.539436931833512
CURTIS;43.144207977072526;-8.064685848682865;https://www.google.com/maps?q=...843.144207977072526,-8.064685848682865
DODRO;42.74809349789255;-8.707819125470431;https://www.google.com/maps?q=...842.74809349789255,-8.707819125470431
DOZON;42.569889919701396;-8.041930849946775;https://www.google.com/maps?q=...842.569889919701396,-8.041930849946775
DUMBRIA;42.99117054370897;-9.079725416283246;https://www.google.com/maps?q=...842.99117054370897,-9.079725416283246
ENTRIMO;41.96009571606478;-8.136564859483641;https://www.google.com/maps?q=...841.96009571606478,-8.136564859483641
ESGOS;42.34062432181868;-7.690460990010505;https://www.google.com/maps?q=...842.34062432181868,-7.690460990010505
FENE;43.46965720986176;-8.15580539672411;https://www.google.com/maps?q=...843.46965720986176,-8.15580539672411
FERROL;43.508045919845486;-8.276859046722738;https://www.google.com/maps?q=...843.508045919845486,-8.276859046722738
FISTERRA;42.92757042237438;-9.268652366368073;https://www.google.com/maps?q=...842.92757042237438,-9.268652366368073
FOLGOSO DO COUREL;42.643940677657156;-7.153813559642575;https://www.google.com/maps?q=...842.643940677657156,-7.153813559642575
FORCAREI;42.599256804571155;-8.341200112372453;https://www.google.com/maps?q=...842.599256804571155,-8.341200112372453
FORNELOS DE MONTES;42.32897309875901;-8.454582244449742;https://www.google.com/maps?q=...842.32897309875901,-8.454582244449742
FOZ;43.5974630158459;-7.351570357622601;https://www.google.com/maps?q=...843.5974630158459,-7.351570357622601
FRADES;43.07890612251515;-8.285732404039123;https://www.google.com/maps?q=...843.07890612251515,-8.285732404039123
FRIOL;43.044369285997945;-7.809245012627512;https://www.google.com/maps?q=...843.044369285997945,-7.809245012627512
GOMESENDE;42.198569464014284;-8.094699443653646;https://www.google.com/maps?q=...842.198569464014284,-8.094699443653646
GONDOMAR;42.123850385254975;-8.724642237690373;https://www.google.com/maps?q=...842.123850385254975,-8.724642237690373
GUITIRIZ;43.21616502805657;-7.8449420765901365;https://www.google.com/maps?q=...843.21616502805657,-7.8449420765901365
GUNTIN;42.904678329763634;-7.648524137865172;https://www.google.com/maps?q=...842.904678329763634,-7.648524137865172
IRIXOA;43.28745767623226;-8.051643014563414;https://www.google.com/maps?q=...843.28745767623226,-8.051643014563414
LALIN;42.653388507217;-8.140068132587365;https://www.google.com/maps?q=...842.653388507217,-8.140068132587365
LANCARA;42.839774356376466;-7.2974583247744205;https://www.google.com/maps?q=...842.839774356376466,-7.2974583247744205
LAROUCO;42.35162107562728;-7.16948681688335;https://www.google.com/maps?q=...842.35162107562728,-7.16948681688335
LAXE;43.18488668518013;-9.024262783138585;https://www.google.com/maps?q=...843.18488668518013,-9.024262783138585
LAZA;42.12670795790747;-7.462216146158361;https://www.google.com/maps?q=...842.12670795790747,-7.462216146158361
LEIRO;42.38053088224996;-8.165867221964712;https://www.google.com/maps?q=...842.38053088224996,-8.165867221964712
LOBEIRA;42.01046521892248;-8.040909629417325;https://www.google.com/maps?q=...842.01046521892248,-8.040909629417325
LOBIOS;41.91253892262018;-8.066467081625234;https://www.google.com/maps?q=...841.91253892262018,-8.066467081625234
